OBJECTID_1,OBJECTID,District,Route,Rte_SFX,County,PM_PFX,Postmile,PM_SFX,Descriptn,Back_pk_h,Back_pk_m,Back_AADT,Ahead_pk_h,Ahead_pk_m,Ahead_AADT,Lon_S_or_W,Lat_S_or_W,Lon_N_or_E,Lat_N_or_E
581,581,2,89, ,SIS, ,0, ,SHASTA/SISKIYOU COUNTY LINE, , , ,180,1700,1300,-121.7180578,41.18329671,-121.7180578,41.18329671
582,582,2,89, ,SIS, ,14.34, ,MILITARY PASS ROAD,180,1700,1300,170,1650,1250,-121.943171,41.26360832,-121.943171,41.26360832
583,583,2,89, ,SIS, ,24.75, ,BROADWAY/SOUTHERN AVENUE,250,2750,2100,310,3500,2650,-122.1362606,41.251185,-122.1362606,41.251185
584,584,2,89, ,SIS,R,34.622, ,JCT. RTE. 5,460,4500,3350, , , ,-122.3020534,41.28501136,-122.3020534,41.28501136
585,585,2,96, ,SIS,R,0, ,HUMBOLDT/SISKIYOU COUNTY LINE, , , ,20,140,95,-123.488186,41.37713724,-123.488186,41.37713724
586,586,2,96, ,SIS,R,0.55, ,ISHI PISHI ROAD,20,140,95,30,150,100,-123.4933473,41.38328066,-123.4933473,41.38328066
587,587,2,96, ,SIS,R,0.72, ,"ETNA, SOMES BAR ROAD",30,150,100,30,150,100,-123.4933654,41.38570541,-123.4933654,41.38570541
588,588,2,96, ,SIS, ,23.268, ,SWILLUP CREEK BRIDGE,70,410,310,30,200,150,-123.5014222,41.60839943,-123.5014222,41.60839943
589,589,2,96, ,SIS, ,38.758, ,BENJAMIN CREEK ROAD,90,540,410,40,410,320,-123.403249,41.77015706,-123.403249,41.77015706
590,590,2,96, ,SIS, ,41.021, ,INDIAN CREEK BRIDGE,130,710,600,140,900,880,-123.3795316,41.79073969,-123.3795316,41.79073969
591,591,2,96, ,SIS, ,41.101, ,"HAPPY CAMP, MAIN STREET",140,900,880,230,1850,1550,-123.378265,41.79142976,-123.378265,41.79142976
592,592,2,96, ,SIS, ,41.25, ,"HAPPY CAMP, SECOND STREET",210,1850,1550,190,1650,1400,-123.3764608,41.79287223,-123.3764608,41.79287223
593,593,2,96, ,SIS, ,41.67, ,DAVIS ROAD,170,1600,1350,140,920,770,-123.3745419,41.79878252,-123.3745419,41.79878252
594,594,2,96, ,SIS,R,52.509, ,THOMPSON CREEK BRIDGE,60,560,550,80,740,620,-123.3105633,41.86335937,-123.3105633,41.86335937
595,595,2,96, ,SIS, ,60.757, ,SEIAD MAINTENANCE STATION,70,740,600,70,740,600,-123.1881283,41.8380916,-123.1881283,41.8380916
596,596,2,96, ,SIS, ,71.33, ,SCOTT BAR ROAD,90,620,510,80,610,490,-123.0361523,41.77765505,-123.0361523,41.77765505
597,597,2,96, ,SIS, ,103.418, ,JCT. RTE. 263 SOUTH,110,1250,810,140,1100,850,-122.5912353,41.83229867,-122.5912353,41.83229867
598,598,2,96, ,SIS, ,105.823, ,JCT. RTE. 5,80,540,470, , , ,-122.5713497,41.85836348,-122.5710647,41.85802246
599,599,2,97, ,SIS,L,0, ,"WEED, JCT. RTE. 5", , , ,830,11000,10700,-122.3835365,41.41826246,-122.3835365,41.41826246
600,600,2,97, ,SIS,L,0.43, ,JCT. RTE. 265,830,11000,10700,590,7900,7400,-122.3873416,41.42293905,-122.3873416,41.42293905
601,601,2,97, ,SIS, ,1.047, ,"WEED, WEST LINCOLN STREET",590,7900,7400,490,7300,6900,-122.3871735,41.43653504,-122.3870527,41.4365112
602,602,2,97, ,SIS, ,4.43, ,"WEED, BIG SPRINGS ROAD",490,6900,6300,460,6400,5900,-122.3516006,41.472742,-122.3516006,41.472742
603,603,2,97, ,SIS, ,20.19, ,GRASS LAKE STATE HIGHWAY MAINTENANCE STATION,510,5200,3550,510,5200,3550,-122.1924175,41.63413814,-122.1924175,41.63413814
604,604,2,97, ,SIS, ,36.15, ,1.7-MI. S/O BALL MOUNTAIN RD,490,4750,3450,490,4750,3450,-122.0474069,41.77887559,-122.0474069,41.77887559
605,605,2,97, ,SIS, ,45.248, ,SAMS NECK ROAD,490,4750,3450,310,7100,4050,-121.9637843,41.89460801,-121.9637843,41.89460801
606,606,2,97, ,SIS, ,49.827, ,DORRIS QUARANTINE STATION,310,7100,4050,310,7100,4050,-121.9238526,41.95391606,-121.9238526,41.95391606
607,607,2,97, ,SIS, ,50.89, ,"DORRIS, FIRST/MAIN STREETS",350,6400,4700,350,6400,4700,-121.9182015,41.96694718,-121.9182015,41.96694718
608,608,2,97, ,SIS, ,53.809, ,JCT. RTE. 161 EAST,460,6800,4600,320,4800,3250,-121.8917854,42.00011302,-121.8917854,42.00011302
609,609,2,97, ,SIS, ,54.089, ,OREGON STATE LINE,320,4800,3250, , , ,-121.8891216,42.00334482,-121.8891216,42.00334482
610,610,2,99, ,TEH, ,0, ,BUTTE/TEHAMA COUNTY LINE, , , ,1600,17800,16400,-121.9763631,39.88356669,-121.9763631,39.88356669
611,611,2,99, ,TEH, ,4.491, ,SOUTH AVENUE,1650,18200,16800,790,10300,9700,-122.033047,39.93180635,-122.033047,39.93180635
612,612,2,99, ,TEH, ,5.42, ,VINA ROAD,880,9600,9000,890,9900,9300,-122.0463345,39.94025838,-122.0463345,39.94025838
613,613,2,99, ,TEH, ,11.181, ,SHERMAN STREET,1200,10900,10100,1200,10900,10100,-122.0955128,40.01214749,-122.0955128,40.01214749
614,614,2,99, ,TEH, ,12.308, ,ARAMAYO WAY,1100,14600,13500,1000,11400,10700,-122.0999321,40.02796603,-122.0998541,40.02796814
615,615,2,99, ,TEH, ,19.517, ,KAUFMAN AVENUE,870,9800,9300,1150,12500,12000,-122.1221804,40.12773913,-122.1221291,40.12775201
616,616,2,99, ,TEH, ,24.943, ,JCT. RTE. 36,1150,12500,12000, , , ,-122.1860376,40.18569857,-122.1860376,40.18569857
617,617,2,139, ,LAS, ,0, ,"SUSANVILLE, JCT. RTE. 36", , , ,640,6400,6200,-120.6489233,40.41549395,-120.6489233,40.41549395
618,618,2,139, ,LAS, ,1.42, ,LASSEN COLLEGE,380,3550,3450,120,1150,950,-120.6355206,40.432813,-120.6355206,40.432813
619,619,2,139, ,LAS, ,2.34, ,SUSANVILLE DUMP,120,1150,950,100,1200,600,-120.626653,40.444517,-120.626653,40.444517
620,620,2,139, ,LAS, ,61.46, ,COUNTY ROAD A-2,110,830,570,110,960,660,-120.921399,41.11341879,-120.921399,41.11341879
621,621,2,139, ,LAS, ,66.635, ,LASSEN/MODOC COUNTY LINE,110,960,660, , , ,-120.9441424,41.18427689,-120.9441424,41.18427689
622,622,2,139, ,MOD, ,0, ,LASSEN/MODOC COUNTY LINE, , , ,110,960,660,-120.9441424,41.18427689,-120.9441424,41.18427689
623,623,2,139, ,MOD,R,0.231, ,JCT. RTE. 299,110,960,660,160,1450,1100,-120.8787104,41.43794206,-120.8787104,41.43794206
624,624,2,139, ,MOD, ,17.35, ,LOOKOUT/HACKMORE ROADS,160,1450,1100,180,1750,1350,-121.153093,41.539973,-121.153093,41.539973
625,625,2,139, ,MOD, ,40.45, ,COUNTY ROAD TO MALIN,180,1750,1350,150,2250,1900,-121.3097707,41.84375162,-121.3097707,41.84375162
626,626,2,139, ,MOD, ,44.505, ,NEWELL,150,2250,1900,260,2850,2400,-121.3691069,41.8818364,-121.3691069,41.8818364
627,627,2,139, ,MOD, ,50.684, ,MODOC/SISKIYOU COUNTY LINE,260,2850,2400, , , ,-121.4572963,41.94214906,-121.4572963,41.94214906
628,628,2,139, ,SIS, ,0, ,MODOC/SISKIYOU COUNTY LINE, , , ,260,2850,2400,-121.4572963,41.94214906,-121.4572963,41.94214906
629,629,2,139, ,SIS, ,1.04, ,"TULELAKE, EAST/WEST ROADS",260,2850,2400,510,4600,3300,-121.469809,41.953873,-121.469809,41.953873
630,630,2,139, ,SIS, ,5.042, ,JCT RTE 161,510,4600,3300,270,3900,2800,-121.5194243,41.99824016,-121.5194243,41.99824016
631,631,2,139, ,SIS, ,5.043, ,"OREGON STATE LINE, JCT RTE 161 W",270,3900,2800, , , ,-121.519437,41.99825073,-121.519437,41.99825073
632,632,2,147, ,PLU, ,0, ,"CANYON DAM, JCT. RTE. 89", , , ,150,1300,970,-121.080584,40.17197139,-121.080584,40.17197139
633,633,2,147, ,PLU, ,7.37, ,BIG SPRINGS ROAD,120,1950,1150,140,1350,1050,-121.0866088,40.27031918,-121.0865289,40.2702912
634,634,2,147, ,PLU, ,9.891, ,PLUMAS/LASSEN COUNTY LINE,140,1350,1050, , , ,-121.0610511,40.294147,-121.0610511,40.294147
635,635,2,147, ,LAS, ,0, ,PLUMAS/LASSEN COUNTY LINE, , , ,140,1350,1050,-121.0610511,40.294147,-121.0610511,40.294147
636,636,2,147, ,LAS, ,1.14, ,COUNTY ROAD A-21,180,1550,1250,110,1100,860,-121.046157,40.30188814,-121.046157,40.30188814
637,637,2,147, ,LAS, ,1.79, ,JCT. RTE. 36,110,1100,860, , , ,-121.0485375,40.31082589,-121.0485375,40.31082589
638,638,2,151, ,SHA, ,0, ,SHASTA DAM, , , ,70,340,280,-122.4158692,40.71210248,-122.4158692,40.71210248
639,639,2,151, ,SHA, ,3.781, ,LAKE BOULEVARD,70,340,280,330,2900,2050,-122.402743,40.6912202,-122.402743,40.6912202
640,640,2,151, ,SHA, ,4.45, ,TOYON,330,2900,2050,380,3950,2750,-122.390121,40.68970376,-122.390121,40.68970376
641,641,2,151, ,SHA, ,5.508, ,SOUTHERN PACIFIC RAILROAD UNDERPASS,620,6800,4750,620,6800,4750,-122.3753136,40.68177963,-122.3753136,40.68177963
642,642,2,151, ,SHA, ,5.62, ,BEGIN INDEPENDENT ALIGN AT ASHBY ROAD,620,6800,4750, , , ,-122.3729605,40.68120378,-122.3729605,40.68120378
643,643,2,151, ,SHA,R,5.62,R,BEGIN RIGHT ALIGN AT ASHBY ROAD, , , ,670,7000,4900,Left Skipped - Input PM on Right Ind. Alignment,Left Skipped - Input PM on Right Ind. Alignment,-122.3729605,40.68120378
644,644,2,151, ,SHA,R,5.931,R,ON SHASTA DAM BLVD AT HARDENBROOK AVE,670,7000,4900,710,6700,4650,Left Skipped - Input PM on Right Ind. Alignment,Left Skipped - Input PM on Right Ind. Alignment,-122.367091,40.68053476
645,645,2,151, ,SHA,R,5.994,R,"ON SHASTA DAM BOULEVARD; END RIGHT ALIGN",710,6700,4650, , , ,Left Skipped - Input PM on Right Ind. Alignment,Left Skipped - Input PM on Right Ind. Alignment,-122.3658659,40.68048623
646,646,2,151, ,SHA,R,5.62,L,"ASHBY RD, BEGIN LEFT ALIGN", , , ,660,6000,4200,-122.3729605,40.68120378,Right Skipped - Input PM on Left Ind. Alignment,Right Skipped - Input PM on Left Ind. Alignment
647,647,2,151, ,SHA,R,5.93,L,On Front Street at Hardenbrook Avenue,660,6000,4200,410,6100,4300,-122.367094,40.68082073,Right Skipped - Input PM on Left Ind. Alignment,Right Skipped - Input PM on Left Ind. Alignment
648,648,2,151, ,SHA,R,5.993,L,"Front Street/Shasta Dam Boulevard, END LEFT ALIGN",410,6100,4300, , , ,-122.3658947,40.6805787,Right Skipped - Input PM on Left Ind. Alignment,Right Skipped - Input PM on Left Ind. Alignment
649,649,2,151, ,SHA, ,6.79, ,CASCADE BOULEVARD,1300,13500,13300,1350,13900,13700,-122.350695,40.68003119,-122.35076,40.67995276
650,650,2,151, ,SHA,R,6.924, ,"JCT. RTE. 5, PROJECT CITY",1350,13900,13700, , , ,-122.3484818,40.67931993,-122.3485008,40.67925688
651,651,2,161, ,SIS, ,0.037, ,JCT. RTE. 97, , , ,70,630,620,-121.891743,42.000093,-121.891743,42.000093
652,652,2,161, ,SIS, ,17.31, ,HILL ROAD,90,1100,1050,100,1100,1050,-121.5592771,41.99868143,-121.5592771,41.99868143
653,653,2,161, ,SIS, ,19.361, ,JCT. RTE. 139,110,1150,1100, , , ,-121.5195103,41.99826957,-121.5195103,41.99826957
654,654,2,172, ,TEH, ,0, ,"MINERAL, JCT. RTE. 36", , , ,40,300,190,-121.596541,40.347584,-121.596541,40.347584
655,655,2,172, ,TEH, ,5.77, ,MILL CREEK,40,300,190,50,250,160,-121.526661,40.32389674,-121.526661,40.32389674
656,656,2,172, ,TEH, ,8.917, ,"MORGAN SPRINGS, JCT. RTE. 36",50,250,160, , , ,-121.5118359,40.36193646,-121.5118359,40.36193646
657,657,2,263, ,SIS, ,49.07, ,"YREKA, JCT. RTE. 3", , , ,230,2150,1900,-122.6333626,41.74030014,-122.6333626,41.74030014
658,658,2,263, ,SIS, ,50.63, ,"HAWKINSVILLE, HUMBUG ROAD",170,1850,1700,120,1100,970,-122.6218495,41.76085211,-122.6218495,41.76085211
659,659,2,263, ,SIS, ,57.195, ,JCT. RTE. 96,110,1150,950, , , ,-122.591033,41.832326,-122.591033,41.832326
660,660,2,265, ,SIS, ,19.801, ,"WEED, JCT. RTE. 97", , , ,190,1900,1700,-122.3873315,41.42292586,-122.3873315,41.42292586
661,661,2,265, ,SIS, ,20.328, ,"WEED, JCT. RTE. 5",190,1900,1700, , , ,-122.3966043,41.42332374,-122.3966043,41.42332374
662,662,2,273, ,SHA, ,3.812, ,JCT. RTE. 5, , , ,840,9100,8600,-122.2855169,40.43045341,-122.2846111,40.43099163
663,663,2,273, ,SHA, ,4.44, ,"ANDERSON, PINON AVENUE",830,9000,8500,1350,13600,12600,-122.2913845,40.43857176,-122.2912277,40.43863437
664,664,2,273, ,SHA, ,5.206, ,"ANDERSON, SOUTH STREET",1350,13600,12500,1200,12900,12100,-122.298165,40.44815,-122.298064,40.44823
665,665,2,273, ,SHA, ,5.438, ,"ANDERSON, NORTH STREET",1200,12900,12100,880,11400,9400,-122.3014675,40.45040754,-122.3013788,40.45051237
666,666,2,273, ,SHA, ,6.387, ,ALEXANDER AVENUE,880,11400,9000,1700,13300,10100,-122.3148537,40.45954139,-122.314751,40.45966888
667,667,2,273, ,SHA, ,6.9, ,OX YOKE ROAD,1700,13300,10100,1900,16200,12600,-122.3221404,40.46453019,-122.3220126,40.46463741
668,668,2,273, ,SHA, ,7.24, ,CHAMPION/FRONTAGE ROADS,1900,16200,12600,1950,14900,12000,-122.3269727,40.46783385,-122.3268681,40.46795956
669,669,2,273, ,SHA, ,7.54, ,HILL STREET,1950,14900,12000,1100,11500,11000,-122.3311464,40.47069541,-122.3310184,40.47079884
670,670,2,273, ,SHA, ,9.99, ,HAPPY VALLEY ROAD,1100,11500,11000,1150,12200,11900,-122.3659766,40.49447052,-122.365845,40.49458291
671,671,2,273, ,SHA, ,11.1, ,CANYON ROAD,1150,12200,11500,1950,21700,20600,-122.3795515,40.50646159,-122.3793657,40.50652343
672,672,2,273, ,SHA, ,11.83, ,"REDDING, CLEAR CREEK ROAD",1950,21700,20600,2000,21900,20900,-122.3814361,40.51666495,-122.3812824,40.51690705
673,673,2,273, ,SHA, ,12.27, ,"REDDING, WESTWOOD AVENUE",2000,21900,20900,2100,22600,22200,-122.3825434,40.52301057,-122.382373,40.52311335
674,674,2,273, ,SHA, ,12.68, ,"REDDING, CEDARS/SOUTH BONNEYVIEW ROADS",2100,22600,22200,1600,18000,15500,-122.3835994,40.52897941,-122.3834117,40.5290032
675,675,2,273, ,SHA, ,14.184, ,BRESLAUER WAY,1600,18000,15500,2050,21200,20400,-122.3874085,40.55060908,-122.3872351,40.55063015
676,676,2,273, ,SHA, ,14.47, ,"REDDING, BUENAVENTURA BOULEVARD",2050,21200,20400,1600,16600,15900,-122.3881106,40.55461296,-122.3879445,40.55465311
677,677,2,273, ,SHA, ,15.921, ,MARKET/PINE STREETS,1850,17400,15600, , , ,-122.3872762,40.57555614,-122.3870322,40.57547879
678,678,2,273, ,SHA, ,15.921,R,"MARKET/PINE STREETS, BEGIN RIGHT ALIGN", , , ,1200,10900,10400,Left Skipped - Input PM on Right Ind. Alignment,Left Skipped - Input PM on Right Ind. Alignment,-122.3870322,40.57547879
679,679,2,273, ,SHA, ,15.978,R,"REDDING, ON PINE ST. AT CYPRESS ST., RT",1050,10900,10400,1200,10900,10400,Left Skipped - Input PM on Right Ind. Alignment,Left Skipped - Input PM on Right Ind. Alignment,-122.3868077,40.57630958
680,680,2,273, ,SHA,R,16.45,R,"REDDING, ON PINE ST. AT PLACER ST., RT",1150,10300,10000,1150,10300,9900,Left Skipped - Input PM on Right Ind. Alignment,Left Skipped - Input PM on Right Ind. Alignment,-122.3888429,40.58293492
681,681,2,273, ,SHA,R,16.659,R,"REDDING, ON PINE ST AT TEHAMA ST, JCT RTE 44",1150,10300,9900,630,5900,5700,Left Skipped - Input PM on Right Ind. Alignment,Left Skipped - Input PM on Right Ind. Alignment,-122.390022,40.585685
682,682,2,273, ,SHA,R,16.73,R,"JCT RTE 299W AND RTE 44E, END RIGHT ALIGN",1150,10300,5700, , , ,Left Skipped - Input PM on Right Ind. Alignment,Left Skipped - Input PM on Right Ind. Alignment,-122.390437,40.58668
683,683,2,273, ,SHA, ,15.921,L,"REDDING, ON MARKET ST., BEGIN LEFT ALIGN", , , ,940,7900,7600,-122.3872762,40.57555614,Right Skipped - Input PM on Left Ind. Alignment,Right Skipped - Input PM on Left Ind. Alignment
684,684,2,273, ,SHA, ,15.978,L,"REDDING, ON MARKET ST. AT CYPRESS ST., LT",940,7900,7600,940,7900,7600,-122.3874951,40.57637393,Right Skipped - Input PM on Left Ind. Alignment,Right Skipped - Input PM on Left Ind. Alignment
685,685,2,273, ,SHA, ,16.255,L,"REDDING, MARKET/GOLD STREETS, LT",940,7900,7600,940,7900,7600,-122.3889376,40.57982892,Right Skipped - Input PM on Left Ind. Alignment,Right Skipped - Input PM on Left Ind. Alignment
686,686,2,273, ,SHA,R,16.326,L,"REDDING, GOLD/ CALIFORNIA STREETS, LT",890,7500,7200,900,7500,7200,-122.3902486,40.57951203,Right Skipped - Input PM on Left Ind. Alignment,Right Skipped - Input PM on Left Ind. Alignment
687,687,2,273, ,SHA,R,16.44,L,"REDDING, ON CALIFORNIA ST. AT SACRAMENTO ST., LT",840,7000,6800,720,6700,6500,-122.3908792,40.58105392,Right Skipped - Input PM on Left Ind. Alignment,Right Skipped - Input PM on Left Ind. Alignment
688,688,2,273, ,SHA,R,16.51,L,"REDDING, ON CALIFORNIA ST. AT PLACER ST., LT",720,6700,6500,690,6000,5800,-122.3913085,40.58205564,Right Skipped - Input PM on Left Ind. Alignment,Right Skipped - Input PM on Left Ind. Alignment
689,689,2,273, ,SHA,R,16.73,L,"REDDING, CALIFORNIA/ TEHAMA STREETS, LT",690,6000,5800,570,5500,5300,-122.392554,40.5850316,Right Skipped - Input PM on Left Ind. Alignment,Right Skipped - Input PM on Left Ind. Alignment
690,690,2,273, ,SHA,R,16.801,L,"REDDING, TEHAMA/MARKET, JCT RTE 44, END LEFT ALIGN",570,5500,5300, , , ,-122.391303,40.58536,Right Skipped - Input PM on Left Ind. Alignment,Right Skipped - Input PM on Left Ind. Alignment
691,691,2,273, ,SHA, ,16.833, ,JCT RTE 299W AND RTE 44E, , , ,1500,17000,15700,-122.391303,40.58536,-122.390437,40.58668
692,692,2,273, ,SHA, ,17.39, ,QUARTZ HILL/RIO,1700,17200,16300,1800,20100,19100,-122.3894171,40.59446473,-122.3892874,40.59440635
693,693,2,273, ,SHA, ,17.81, ,"REDDING, BENTON DRIVE",1800,20100,19100,1950,21400,20900,-122.3841982,40.59953922,-122.3840359,40.59945187
694,694,2,273, ,SHA, ,18.622, ,LAKE BOULEVARD,1950,21400,20900,1150,13900,13100,-122.3766103,40.60940105,-122.3766103,40.60940105
695,695,2,273, ,SHA, ,18.92, ,TWINVIEW BOULEVARD,1150,13900,13100,810,15400,9300,-122.3754782,40.61351532,-122.3752562,40.613475
696,696,2,273, ,SHA, ,19.77, ,CATERPILLAR ROAD,810,15400,9300,680,7100,6700,-122.3710592,40.62544827,-122.3708915,40.62539476
697,697,2,273, ,SHA, ,20.033, ,JCT. RTE. 5,680,7100,6700, , , ,-122.3697155,40.62906268,-122.3683627,40.62862796
698,698,2,284, ,PLU, ,0, ,JCT. RTE. 70, , , ,150,980,690,-120.139612,39.797656,-120.139612,39.797656
699,699,2,284, ,PLU, ,8.302, ,FRENCHMAN RESERVOIR,100,580,390, , , ,-120.191064,39.892749,-120.191064,39.892749
700,700,2,299, ,TRI, ,0, ,HUMBOLT/TRINITY COUNTY LINE, , , ,470,4600,3450,-123.6010207,40.88890152,-123.6010207,40.88890152
701,701,2,299, ,TRI, ,1.3, ,EAST LIMITS SALYER,420,4100,3100,350,3500,2600,-123.581897,40.8926095,-123.581897,40.8926095
702,702,2,299, ,TRI, ,11.53, ,BURNT RANCH ROAD,330,3250,2450,280,2750,2150,-123.4761144,40.8101806,-123.4761144,40.8101806
703,703,2,299, ,TRI, ,21.731, ,DEL LOMA,260,2500,1950,250,2450,1950,-123.3321148,40.7782905,-123.3321148,40.7782905
704,704,2,299, ,TRI, ,24.263, ,LITTLE FRENCH CR,250,2450,1950,270,2550,2000,-123.3068566,40.76975091,-123.3068566,40.76975091
705,705,2,299, ,TRI, ,31.45, ,BIGFLATCMP-WHEELGLUCHRD,190,1950,1750,270,2800,2450,-123.2040407,40.73733923,-123.2040407,40.73733923
706,706,2,299, ,TRI, ,51.03, ,"WEAVERVILLE, WEST CITY LIMITS",320,3400,2950,320,3400,2950,-122.9478978,40.73617346,-122.9479002,40.73610921
707,707,2,299, ,TRI, ,52.07, ,"WEAVERVILLE, WASHINGTON STREET",1050,11000,9900,1050,11000,9900,-122.9358038,40.72721591,-122.9358038,40.72721591
708,708,2,299, ,TRI, ,52.72, ,MARTIN/NUGGET  ROADS,870,9100,8200,700,6900,6200,-122.9281172,40.720235,-122.9282206,40.72023552
709,709,2,299, ,TRI,R,58.11, ,EAST JCT. RTE. 3,550,6000,5000,470,5200,4300,-122.9392897,40.65129061,-122.9392897,40.65129061
710,710,2,299, ,TRI, ,63.51, ,LEWISTON ROAD,470,5200,4300,510,5500,4650,-122.8625558,40.672682,-122.8625558,40.672682
711,711,2,299, ,TRI, ,67.425, ,NEW LEWISTON ROAD,510,5500,4650,500,5400,4500,-122.7972569,40.66364174,-122.7972569,40.66364174
712,712,2,299, ,TRI, ,72.246, ,TRINITY/SHASTA COUNTY LINE,530,5700,4500, , , ,-122.7336133,40.63525407,-122.7336133,40.63525407
713,713,2,299, ,SHA, ,0, ,TRINITY/SHASTA COUNTY LINE, , , ,530,5700,4500,-122.7336133,40.63525407,-122.7336133,40.63525407
714,714,2,299, ,SHA, ,8.648, ,FRENCH GULCH ROAD,440,4950,3900,620,5500,4300,-122.6365413,40.66524663,-122.6365413,40.66524663
715,715,2,299, ,SHA, ,16.47, ,KENNEDY DRIVE,480,5500,4300,750,5400,4250,-122.5194593,40.6150988,-122.5194593,40.6150988
716,716,2,299, ,SHA, ,17.739, ,ROCK CREEK ROAD,650,7400,5800,1050,11500,9100,-122.5023904,40.60441631,-122.5023904,40.60441631
717,717,2,299, ,SHA, ,21.648, ,"REDDING, WEST CITY LIMITS",1050,11800,9300,1050,11800,9300,-122.4376538,40.58269391,-122.4376538,40.58269391
718,718,2,299, ,SHA, ,22.226, ,"REDDING, BUENAVENTURA BLVD",1050,11800,9300,1400,15800,12400,-122.4268029,40.58380712,-122.426792,40.58369698
719,719,2,299, ,SHA, ,23.81, ,"REDDING, COURT STREET",2100,20900,19600,2100,20800,19600,-122.397158,40.58648032,-122.3971114,40.58640634
720,720,2,299, ,SHA,G,24.088, ,JCT RTES 273 AND 299,2050,20500,19600,2350,23400,21700,-122.3765752,40.60940821,-122.392255,40.5877021
721,721,2,299, ,SHA, ,25.54, ,HAWLEY ROAD,2350,23400,21700,1200,12600,11800,-122.3500004,40.61480358,-122.3499315,40.61456027
722,722,2,299, ,SHA, ,27.239, ,OLD OREGON TRAIL,1200,12600,11800,950,10300,9800,-122.3187011,40.62090794,-122.3186416,40.62066906
723,723,2,299, ,SHA, ,31.46, ,DESCHUTES ROAD,540,8800,7800,490,5500,4850,-122.242364,40.63845836,-122.242364,40.63845836
724,724,2,299, ,SHA, ,53.263, ,TERRY MILL ROAD,240,4450,3950,250,4500,4000,-121.9418996,40.79441675,-121.9418996,40.79441675
725,725,2,299, ,SHA, ,60.05, ,BIG BEND ROAD,260,4050,3600,260,3850,3400,-121.9073248,40.86562463,-121.9073248,40.86562463
726,726,2,299, ,SHA, ,73.13, ,TAMARACK ROAD,310,3800,3150,310,3800,3150,-121.6976342,40.87294765,-121.6976342,40.87294765
727,727,2,299, ,SHA, ,74.48, ,ELM STREET,390,3850,2400,380,9300,3300,-121.6751328,40.87913,-121.6751328,40.87913
728,728,2,299, ,SHA, ,74.98, ,"BURNEY, PLUMAS STREET",380,9300,3300,890,9100,8400,-121.6667156,40.88200683,-121.6667745,40.88191718
729,729,2,299, ,SHA, ,76.181, ,BLACK RANCH ROAD,890,9100,8400,560,6300,5200,-121.6504022,40.8927425,-121.6503283,40.89268638
730,730,2,299, ,SHA, ,78.65, ,PINE ST LT,540,6500,5500,450,5100,4100,-121.623413,40.92174051,-121.623413,40.92174051
731,731,2,299, ,SHA, ,80.085, ,"FOUR CORNERS, JCT. RTE. 89",500,5300,4500,370,3850,3200,-121.6066306,40.93816628,-121.6066156,40.93817253
732,732,2,299, ,SHA, ,91.08, ,GLENBURN/DANA ROADS,370,3850,3200,380,3750,3300,-121.4466103,41.00118814,-121.4466103,41.00118814
733,733,2,299, ,SHA, ,91.56, ,"FALL RIVER MILLS, MAIN STREET",380,3750,3300,500,5200,4200,-121.4385994,41.00410508,-121.4385994,41.00410508
734,734,2,299, ,SHA, ,95.24, ,MCARTHUR-GLENBURN RD,420,4250,3900,360,3700,3250,-121.4028857,41.04992155,-121.4028765,41.04983753
735,735,2,299, ,SHA, ,96.78, ,PITTVILLE ROAD,360,3700,3250,160,1700,1400,-121.3768564,41.05855619,-121.3768579,41.0585557
736,736,2,299, ,SHA, ,99.361, ,SHASTA/LASSEN COUNTY LINE,160,1700,1400, , , ,-121.3315385,41.07293702,-121.3315383,41.07286643
737,737,2,299, ,LAS, ,0, ,SHASTA/LASSEN COUNTY LINE, , , ,160,1700,1400,-121.3315385,41.07293702,-121.3315383,41.07286643
738,738,2,299, ,LAS, ,10.407, ,CEMETERY ROAD,160,1700,1400,180,1900,1600,-121.1954461,41.08440334,-121.1954461,41.08440334
739,739,2,299, ,LAS, ,15.101, ,LOOKOUT ROAD,190,2050,1800,120,1200,970,-121.1298955,41.13347734,-121.1298955,41.13347734
740,740,2,299, ,LAS, ,25.635, ,LASSEN/MODOC COUNTY LINE,120,1200,970, , , ,-120.9503325,41.18430259,-120.9503325,41.18430259
741,741,2,299, ,MOD, ,0, ,LASSEN/MODOC COUNTY LINE, , , ,120,1200,970,-120.9503325,41.18430259,-120.9503325,41.18430259
742,742,2,299, ,MOD, ,0.332, ,"ADIN, JCT. RTE. 139, SOUTH",100,1100,950,140,1700,1500,-120.9451746,41.18744617,-120.9451746,41.18744617
743,743,2,299, ,MOD, ,21.749, ,JCT. RTE. 139 NORTH,130,1450,1100,150,1800,1450,-120.8787002,41.43792939,-120.8787002,41.43792939
744,744,2,299, ,MOD, ,22.435, ,CANBY RANGER STA LT,160,1650,1500,160,1650,1500,-120.8687625,41.4444898,-120.8687625,41.4444898
745,745,2,299, ,MOD, ,40.276, ,"ALTURAS, JUNIPER STREET",150,1700,1450,390,3200,2800,-120.5495746,41.49453111,-120.5495746,41.49453111
746,746,2,299, ,MOD, ,40.64, ,"ALTURAS, JCT. RTE. 395",490,4750,4450,100,890,860,-120.5425901,41.49449742,-120.5425901,41.49449742
747,747,2,299, ,MOD, ,57.354, ,LAKE CITY ROAD,80,740,710,40,260,250,-120.1719186,41.52957019,-120.1719186,41.52957019
